feature1,feature2,tau,p-value,missing values in feature1,missing values in feature2,feature to remove
#assignments (dft),#periods (dft),0.9172308745136696,1.5078687525321118e-168,0,0,#periods (dft)
#assignments (dft),Operators/literals (area).1,1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
#commas (dft),#keywords (dft),0.8924237519020323,3.486506749748982e-160,0,0,#keywords (dft)
#commas (dft),#identifiers (dft),0.7547958999117463,1.371764550093546e-115,0,0,#identifiers (dft)
#commas (dft),#parenthesis (dft),0.8202472239196654,1.479239594944961e-135,0,0,#parenthesis (dft)
#commas (dft),#periods (dft),0.8497767614961477,2.6716140246413988e-145,0,0,#periods (dft)
#commas (dft),Operators/literals (area).1,1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
#comments (dft),Comments (Visual Y),0.8186297446854965,1.7217272064556373e-128,0,0,Comments (Visual Y)
#comments (dft),Identifiers (Visual Y),0.7916470573094522,6.034074418571893e-129,0,0,Identifiers (Visual Y)
#comments (dft),Keywords (Visual Y),0.7863504236506493,2.9768404462039168e-127,0,0,Keywords (Visual Y)
#comments (dft),Operators (Visual Y),0.7918362227972666,5.247249342136242e-129,0,0,Operators (Visual Y)
#comparisons (dft),Operators/literals (area).1,1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
#conditionals (dft),Operators/literals (area).1,1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
Indentation length (dft),#spaces (dft),0.7372382901886565,1.7133008575642352e-107,0,0,#spaces (dft)
#keywords (dft),#identifiers (dft),0.8002007799208876,8.853842955917348e-130,0,0,#identifiers (dft)
#keywords (dft),#parenthesis (dft),0.860160292791525,5.37152658989832e-149,0,0,#parenthesis (dft)
#keywords (dft),#periods (dft),0.9045901012764583,1.6119831080275421e-164,0,0,#periods (dft)
#keywords (dft),Operators/literals (area).1,1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
#loops (dft),Operators/literals (area).1,1.0,2.8210569271137134e-12,0,409,Operators/literals (area).1
