model,iteration,hyperparameters,target,warning_feature,feature_set,correlation_c,mse_c,mae_c,rmse_c,correlation_cw,mse_cw,mae_cw,rmse_cw,diff_mse,diff_mae,diff_rmse,experiment
mlp,3,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.99, 'solver': 'sgd', 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,0.18418261617873682,81527.74974950794,215.87344807733126,285.5306459025159,0.18312104490393144,88745.242101936,239.35746049887786,297.9013966095762,-7217.49235242806,-23.484012421546595,-12.370750707060267,exp1-TNPU-feature-set1
mlp,4,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.99, 'solver': 'sgd', 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,-0.011140608637215327,33732.61281663591,153.84526057032605,183.66440269316183,0.07267920872849998,25257.011874227224,88.77742764926612,158.92454773957112,8475.600942408688,65.06783292105993,24.739854953590708,exp1-TNPU-feature-set1
mlp,5,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.99, 'solver': 'sgd', 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,-0.01808718044409007,43382.64336884537,159.07406495696716,208.2850051464228,-0.15730366022587428,56588.11155220114,177.90473361736687,237.88255831859792,-13205.46818335577,-18.83066866039971,-29.59755317217511,exp1-TNPU-feature-set1
mlp,overall,"{'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.99, 'solver': 'sgd', 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'activation': 'relu', 'early_stopping': True, 'learning_rate_init': 0.001}",TNPU,warnings_checker_framework,set1,0.03142921009977047,72592.68791422877,195.38505231756614,269.43030251667824,-0.005360517388504643,59202.981446168385,157.64460917981708,243.31662796892527,13389.70646806038,37.740443137749054,26.113674547752964,exp1-TNPU-feature-set1
mlp,1,"{'activation': 'relu', 'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 100, 50), 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,-0.08813416922859042,43887.38349574213,140.20292085330635,209.49315858934898,-0.02867015143580652,47904.94390326246,166.88081629831402,218.8719806262612,-4017.56040752033,-26.677895445007664,-9.378822036912226,exp1-TNPU-feature-set1
mlp,2,"{'activation': 'relu', 'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 100, 50), 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,0.031889478057687846,114559.50974648463,251.66191776787153,338.46640859394694,-0.030826495455764918,81786.63688197674,185.0007799202876,285.9836304440811,32772.872864507895,66.66113784758392,52.48277814986585,exp1-TNPU-feature-set1
mlp,3,"{'activation': 'relu', 'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 100, 50), 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,0.15870490558340725,49186.78498920636,132.2669629566967,221.78093919272314,0.2553078915906986,45915.6336058515,131.55863320014964,214.2793354615687,3271.1513833548597,0.7083297565470446,7.501603731154432,exp1-TNPU-feature-set1
mlp,4,"{'activation': 'relu', 'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 100, 50), 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,0.0037135362124051086,133467.65620468272,318.20492034742534,365.3322545364462,0.08753335357812042,40237.51466194039,174.1904179629929,200.59290780568585,93230.14154274232,144.01450238443243,164.73934673076036,exp1-TNPU-feature-set1
mlp,5,"{'activation': 'relu', 'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 100, 50), 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,-0.056453926840644764,54534.739816057954,186.45246198135763,233.52674325665134,0.006029060148030024,47992.326017497435,165.33731500192565,219.07150891317985,6542.413798560519,21.115146979431984,14.455234343471489,exp1-TNPU-feature-set1
mlp,overall,"{'activation': 'relu', 'alpha': 0.0001, 'random_state': 1699304546, 'momentum': 0.9, 'learning_rate_init': 0.01, 'max_iter': 1000, 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 100, 50), 'solver': 'adam', 'early_stopping': True}",TNPU,warnings_checker_framework,set1,0.009943964756853002,79127.21485043476,205.75783678133152,281.29560048183254,0.05787473168505551,52767.4110141057,164.59359247673396,229.71158223760878,26359.803836329054,41.16424430459756,51.584018244223756,exp1-TNPU-feature-set1
