warning_feature,feature_set,#best_hyperparameters,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_checker_framework,set3,c (8) cw (8),mlp,TNPU,mae,261.35633271128813,197.71370259149154,240.18363764710764,199.48443233547513,63.64263011979659,40.69920531163251,0.01953125,0.46875,medium,8
warnings_checker_framework,set3,c (1) cw (1),linear_regression,TNPU,mse,128278.63538082191,120867.07374535958,128278.63538082191,120867.07374535958,7411.561635462334,7411.561635462334,0.5,1.0,large,1
warnings_checker_framework,set3,c (1) cw (1),linear_regression,TNPU,mae,269.5580853179184,258.42464662138457,269.5580853179184,258.42464662138457,11.133438696533858,11.133438696533858,0.5,1.0,large,1
warnings_checker_framework,set3,c (2) cw (2),knn,TNPU,mse,46821.05308972325,46882.73941406663,46821.05308972325,46882.73941406663,-61.68632434337633,-61.68632434337633,0.75,0.0,negligible,2
warnings_checker_framework,set3,c (2) cw (2),knn,TNPU,mae,125.41497091485986,125.585097831835,125.41497091485986,125.585097831835,-0.1701269169751356,-0.1701269169751356,1.0,-0.5,large,2
warnings_checker_framework,set3,c (9) cw (9),random_forest,TNPU,mse,43950.86695975242,44453.41460911556,44056.97700838479,44371.95037555785,-502.54764936314314,-314.97336717305734,0.849609375,-0.43209876543209874,medium,9
warnings_checker_framework,set3,c (9) cw (9),random_forest,TNPU,mae,131.463962191427,127.60326388981062,133.71717831117013,127.43765336254266,3.8606983016163667,6.2795249486274685,0.001953125,0.8765432098765432,large,9
warnings_infer,set3,c (1) cw (1),svm,TNPU,mse,49826.78553318912,51111.48211719736,49826.78553318912,51111.48211719736,-1284.6965840082412,-1284.6965840082412,1.0,-1.0,large,1
warnings_infer,set3,c (1) cw (1),svm,TNPU,mae,113.20231445878956,115.79373558773018,113.20231445878956,115.79373558773018,-2.591421128940624,-2.591421128940624,1.0,-1.0,large,1
warnings_infer,set3,c (8) cw (8),mlp,TNPU,mse,83452.86909539145,83875.82581839972,97556.24737178729,91018.00576301717,-422.95672300827573,6538.241608770128,0.37109375,0.03125,negligible,8
warnings_infer,set3,c (8) cw (8),mlp,TNPU,mae,225.27746778413635,183.76683046331868,231.1639214153197,186.59812897904592,41.510637320817665,44.56579243627377,0.02734375,0.4375,medium,8
warnings_infer,set3,c (2) cw (2),linear_regression,TNPU,mse,134351.40848583187,147165.13634394994,134351.40848583187,147165.13634394994,-12813.727858118073,-12813.727858118073,1.0,-0.5,large,2
warnings_infer,set3,c (2) cw (2),linear_regression,TNPU,mae,288.8201206745609,309.5852505025482,288.8201206745609,309.5852505025482,-20.765129827987323,-20.765129827987323,1.0,-0.5,large,2
