experiment,warning_feature,feature_set,#best_hyperparameters,use_smote,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,2,False,bayes_network,PBU,precision,0.7117587939698493,0.709471559927296,0.7117587939698493,0.709471559927296,-0.0022872340425532656,-0.0022872340425532656,0.8144533152386513,0.25,small
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,2,False,bayes_network,PBU,recall,0.889967637540453,0.8883495145631068,0.889967637540453,0.8883495145631068,-0.0016181229773462036,-0.0016181229773462036,0.8144533152386513,0.25,small
exp3-PBU-feature-set1-NO-SMOTE,warnings_infer,set1,2,False,bayes_network,PBU,auc,0.5320529016589302,0.5275427463423232,0.5320529016589302,0.5275427463423232,-0.004510155316606923,-0.004510155316606923,0.8144533152386513,0.25,small
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,2,False,SVC,PBU,f1,0.8210968207706087,0.8210968207706087,0.8210968207706087,0.8210968207706087,0.0,0.0,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,2,False,SVC,PBU,precision,0.6988904041656335,0.6988904041656335,0.6988904041656335,0.6988904041656335,0.0,0.0,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,2,False,SVC,PBU,recall,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.9951456310679612,0.0,0.0,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,2,False,SVC,PBU,auc,0.506813463384061,0.506813463384061,0.506813463384061,0.506813463384061,0.0,0.0,0.5,0.0,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,5,False,knn_classifier,PBU,f1,0.8044077134986225,0.8044077134986225,0.8031714824021625,0.8018333674497876,0.0,-0.0013381149523749025,0.891816259871201,0.08,negligible
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,5,False,knn_classifier,PBU,precision,0.6993006993006993,0.6985645933014354,0.6975577975785618,0.6969629866682484,-0.0007361059992638808,-0.0005948109103134369,0.891816259871201,0.16,small
exp4-PBU-feature-set1-NO-SMOTE,warnings_openjml,set1,5,False,knn_classifier,PBU,recall,0.9449838187702264,0.9449838187702264,0.946925566343042,0.9443365695792879,0.0,-0.0025889967637541256,0.8929034871404358,0.08,negligible
