feature_set,warning_feature,target,use_smote,#models_F1_mean_improved / 6,#models_F1_median_improved / 6,#models_improved_both_F1(median+mean) / 6,#models_improved_F1_mean_with_statistical_significance / 6,#models_improved_F1_median_with_statistical_significance / 6,#models_improved_both_F1(mean+median)_with_statistical_significance / 6,avg(mean_F1_improvement),median(mean_F1_improvement),q3(mean_F1_improvement),avg(median_F1_improvement),median(median_F1_improvement),q3(median_F1_improvement),#models_AUC_mean_improved / 6,#models_AUC_median_improved / 6,#models_improved_both_AUC(median+mean) / 6,#models_improved_in_F1(median+mean)+AUC(median+mean) / 12,#models_improved_AUC_mean_with_statistical_significance / 6,#models_improved_AUC_median_with_statistical_significance / 6,#models_improved_both_AUC(mean+median)_with_statistical_significance / 6,#models_improved_F1(mean+median)+AUC(mean+median)_with_statistical_significance / 12,avg(mean_AUC_improvement),median(mean_AUC_improvement),q3(mean_AUC_improvement),avg(median_AUC_improvement),median(median_AUC_improvement),q3(median_AUC_improvement)
set2,warning_sum,BD50,True,3,3,3,1,1,1,-0.010326281760597598,-0.0037185474569247996,0.006354343502866625,-0.019361369770122868,-0.0018032592920242002,0.0057603068363381,3,3,3,6,1,1,1,2,-0.0012302911514109835,0.00083463745435575,0.0062801338258307755,-0.0008904461628156668,0.0009084737181258003,0.006064594264935925
set2,warning_sum,BD50,False,1,1,1,0,0,0,-0.00249585158309878,-0.0020581691036236,0.0,-0.0026527248446061,-0.0020581691036236,0.0,1,1,1,2,0,0,0,0,-0.0023915124735339804,-0.0027179416367485,0.0,-0.00234603700635184,-0.0020539906103286,0.0
set3,warnings_checker_framework,PBU,True,2,2,2,0,0,0,0.00451891725931272,-0.0009075140246985,0.0144334341563394,0.006117935466705439,-0.0017382683725148,0.0144334341563394,3,2,1,2,0,0,0,0,-0.0009563804506074799,0.0002961151262313,0.0006172839506173,-0.0002190688837965799,-0.0009690150224259,0.0002458037095794
set3,warnings_checker_framework,PBU,False,3,3,3,2,2,2,-0.0002672911113514169,0.00026032479122635,0.00337476260604065,0.0017386536719889666,0.0007272830985112,0.003700329224696525,5,4,4,4,1,1,1,2,0.007452425629597667,0.00353512169405435,0.0056226782484934,0.007906930815885466,0.00315113500597365,0.008751493428912701
set3,warnings_checker_framework,ABU50,True,5,5,5,0,0,0,0.0066927755023647095,0.00487966687674235,0.008858341817700526,0.01071869405754425,0.0074461242191948,0.017788728806088026,4,4,4,6,1,1,1,0,0.011174055368499766,0.0111287878787878,0.01652777777777765,0.008813131313131266,0.008484848484848399,0.0156881313131312
set3,warnings_checker_framework,ABU50,False,5,5,5,0,0,0,0.0276645356891768,0.0030816701105944,0.01267980428853585,0.0345031116514122,0.0042673917613231,0.013513735126984125,5,5,5,8,0,0,0,0,0.005083296590241,0.0026414141414141503,0.0094015151515151,0.0077398989898989,0.00508838383838375,0.010340909090908975
set3,warnings_checker_framework,BD50,True,0,1,0,0,0,0,-0.016897232106186082,-0.01662905347289485,-0.008680679902173749,-0.01890534709099685,-0.01772050219788955,-0.016460161704319798,0,1,0,0,0,0,0,0,-0.016146340339300364,-0.012633361899793801,-0.009616537277404351,-0.01831177697996258,-0.0168283393169474,-0.013674859615207575
set3,warnings_checker_framework,BD50,False,3,2,2,0,0,0,0.01868356309550208,0.0012343152728575,0.0033960292580981,0.01843670004093058,0.0,0.0033960292580981,2,2,2,4,0,0,0,0,0.0013272773898291596,0.0,0.0027777777777777,0.0014468839178863797,0.0,0.0027777777777777
set3,warnings_infer,PBU,True,3,2,2,0,0,0,8.288949289156008e-05,0.0001027715221683,0.0039168113668015,-0.0017133705130035998,-0.0025364274150024,0.0039168113668015,2,1,1,0,0,0,0,0,-0.0031398894046523176,-0.0052270011947431,1.1102230246251563e-16,-0.00435630765614904,-0.0040890573280844,0.0
set3,warnings_infer,PBU,False,1,1,0,0,0,0,-0.0038686268573370664,-0.00062266888986075,0.0,-0.0012523784799745499,0.0,0.0,1,0,0,0,0,0,0,0,-0.0030539641968779833,-0.00099761051373955,0.0,-0.0027230187176423663,-0.0003584229390681,0.0
set3,warnings_infer,ABU50,True,2,3,2,0,0,0,0.012408547852661801,-0.00180760923259625,0.00969831090025895,0.008667265663869134,-0.0009181763671698501,0.010192550705529276,3,3,3,2,0,0,0,0,0.002673774784885917,-0.00051767676767675,0.0078577441077441,0.0010690235690235667,-0.00047979797979805005,0.0036047979797979
set3,warnings_infer,ABU50,False,4,2,2,0,0,0,0.029830105295712384,0.00060004244687315,0.007619241862553826,0.019178395636362634,-0.0008049357793074,0.007346870033321625,2,3,2,2,0,0,0,0,0.0016261557372668665,-0.0007550505050505001,0.0072303391053391754,0.0031144781144781496,3.787878787884992e-05,0.0100694444444444
set3,warnings_infer,BD50,True,1,1,1,1,1,1,-0.007387159953320818,-0.0071737643088606,-0.000988607967899425,-0.00708609029281525,-0.00644327402493035,-0.0008836331814204,1,1,1,2,1,1,1,2,-0.0078788040059529,-0.00893500299180695,-0.001661531690140825,-0.010463749271226501,-0.010246363803737401,-0.00231721209610605
set3,warnings_infer,BD50,False,3,3,3,0,0,0,0.03243044494542422,0.0020119533700218,0.0113636363636364,0.03182616965747466,0.0020119533700218,0.0113636363636364,3,3,3,4,0,0,0,0,0.00795171683696954,0.0014084507042253,0.0072712418300654,0.00758446101445274,0.0014084507042253,0.0072712418300654
set3,warnings_openjml,PBU,True,2,2,2,0,0,0,-0.009534634459313202,-0.0052011047273294,0.0056282713599975,-0.010179824653507781,-0.0068907502863688,0.0016697980481973,1,2,1,2,0,0,0,0,-0.0037389738079849203,-0.0034524439072296,-0.0013722408288775,-0.0030911530250505,-0.0038701843038174,0.0015629590457723
set3,warnings_openjml,PBU,False,1,2,1,0,0,0,-0.0039436805768332,-0.00066703675094315,0.0,-0.0007704098899598334,0.0,0.0015808032512549999,3,4,3,2,0,0,0,0,0.003209734894800066,0.0019483126701529,0.0061351948382619495,0.003496908683758633,0.00137395459976105,0.00332569481168095
set3,warnings_openjml,ABU50,True,3,4,3,0,0,0,-0.004385902700748518,-0.0007478910412928499,0.0031784955608987753,0.003928150499484517,0.0007666890393317,0.0033020584233496254,4,5,3,2,0,0,0,0,0.002940516273849584,0.0010648148148148,0.001676767676767525,0.0009385521885521513,0.0012121212121212,0.001881313131313075
set3,warnings_openjml,ABU50,False,2,2,2,1,1,1,0.026978586892072814,-2.2566487710151684e-05,0.0017931616073261249,0.016424601213662567,-0.00148542865226815,0.0017335866019056,2,3,2,4,0,0,0,0,0.0015408716797605836,-0.0004242424242424,0.000827020202020125,0.001750841750841767,5.050505050505e-05,0.000877525252525225
set3,warnings_openjml,BD50,True,1,2,1,0,0,0,-0.003759489398107916,-0.00453646737318605,-0.001746019561782875,-0.003064313147724866,-0.00379369704555975,0.0007513616974469499,1,1,1,2,0,0,0,0,-0.003396559306212467,-0.00405990773983045,-0.002248515603424425,-0.008150756390192967,-0.007955330019331651,-0.003715306545153225
set3,warnings_openjml,BD50,False,4,3,3,0,0,0,0.029474510474171118,0.0129449208414631,0.0310567409040557,0.024452380299258343,0.0151291372975426,0.0310567409040557,4,3,3,4,0,0,0,0,0.005350754855933,0.0048715824357911,0.0106830525637486,0.0048876921660682806,0.0062287121421337,0.0106830525637486
set3,warnings_typestate_checker,PBU,True,2,2,2,1,1,1,-0.11139195753449177,-0.01042645132035395,0.005710112174859051,-0.10985360732696507,-0.0107268223740788,0.0102067461292701,3,3,3,4,0,0,0,0,-0.0006298694150629166,-0.0016185613899932498,0.00515766488108045,-0.0005090715605435,-0.0004086119435142005,0.0075150077364514
set3,warnings_typestate_checker,PBU,False,2,2,2,2,2,2,-0.003959653125766567,0.0,0.0024521331286575,-0.0015641744361375172,0.0,0.001703482935951225,2,1,1,2,0,0,0,0,0.0003453488620924166,0.0,0.001883776955167725,-0.001984301858706883,-0.00100696280627525,0.0
set3,warnings_typestate_checker,ABU50,True,4,4,4,3,3,3,0.019804433072035915,0.007337247886322449,0.02593502919513865,0.008881003796818018,0.00693283639685485,0.018203246998321376,5,5,5,8,3,3,3,6,0.011899644594088982,0.01564754689754675,0.016805555555555525,0.014368686868686817,0.011515151515151398,0.0208775252525252
