Experiment,use_SMOTE,metric,model,target,#best hyperparameters,wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result
exp7-PBU-feature-set2-NO-SMOTE,False,diff_recall,SVC,PBU,1,0.5,0.0,negligible
exp7-PBU-feature-set2-NO-SMOTE,False,diff_auc,SVC,PBU,1,0.5,0.0,negligible
exp7-PBU-feature-set2-NO-SMOTE,False,diff_f1,knn_classifier,PBU,4,0.9375,0.5,large
exp7-PBU-feature-set2-NO-SMOTE,False,diff_precision,knn_classifier,PBU,4,0.875,0.25,small
exp7-PBU-feature-set2-NO-SMOTE,False,diff_recall,knn_classifier,PBU,4,0.9375,0.625,large
exp7-PBU-feature-set2-NO-SMOTE,False,diff_auc,knn_classifier,PBU,4,0.875,0.25,small
exp7-PBU-feature-set2-NO-SMOTE,False,diff_f1,logistic_regression,PBU,1,0.5,0.0,negligible
exp7-PBU-feature-set2-NO-SMOTE,False,diff_precision,logistic_regression,PBU,1,0.5,0.0,negligible
exp7-PBU-feature-set2-NO-SMOTE,False,diff_recall,logistic_regression,PBU,1,0.5,0.0,negligible
exp7-PBU-feature-set2-NO-SMOTE,False,diff_auc,logistic_regression,PBU,1,0.5,0.0,negligible
exp7-PBU-feature-set2-NO-SMOTE,False,diff_f1,randomForest_classifier,PBU,7,0.9453125,0.30612244897959184,small
exp7-PBU-feature-set2-NO-SMOTE,False,diff_precision,randomForest_classifier,PBU,7,0.765625,0.1836734693877551,small
exp7-PBU-feature-set2-NO-SMOTE,False,diff_recall,randomForest_classifier,PBU,7,0.9765625,0.5102040816326531,large
exp7-PBU-feature-set2-NO-SMOTE,False,diff_auc,randomForest_classifier,PBU,7,0.765625,0.1836734693877551,small
exp7-PBU-feature-set2-NO-SMOTE,False,diff_f1,mlp_classifier,PBU,6,0.7998095984239602,0.2222222222222222,small
exp7-PBU-feature-set2-NO-SMOTE,False,diff_precision,mlp_classifier,PBU,6,0.8534112702177443,0.3888888888888889,medium
exp7-PBU-feature-set2-NO-SMOTE,False,diff_recall,mlp_classifier,PBU,6,0.7998095984239602,0.2222222222222222,small
exp7-PBU-feature-set2-NO-SMOTE,False,diff_auc,mlp_classifier,PBU,6,0.8534112702177443,0.3888888888888889,medium
exp7-PBU-feature-set2-NO-SMOTE,False,diff_f1,bayes_network,PBU,1,0.5,-1.0,large
exp7-PBU-feature-set2-NO-SMOTE,False,diff_precision,bayes_network,PBU,1,0.5,-1.0,large
exp7-PBU-feature-set2-NO-SMOTE,False,diff_recall,bayes_network,PBU,1,0.5,-1.0,large
exp7-PBU-feature-set2-NO-SMOTE,False,diff_auc,bayes_network,PBU,1,0.5,-1.0,large
exp8-PBU-feature-set2-NO-SMOTE,False,diff_f1,SVC,PBU,1,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_precision,SVC,PBU,1,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_recall,SVC,PBU,1,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_auc,SVC,PBU,1,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_f1,knn_classifier,PBU,3,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_precision,knn_classifier,PBU,3,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_recall,knn_classifier,PBU,3,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_auc,knn_classifier,PBU,3,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_f1,logistic_regression,PBU,1,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_precision,logistic_regression,PBU,1,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_recall,logistic_regression,PBU,1,0.5,0.0,negligible
exp8-PBU-feature-set2-NO-SMOTE,False,diff_auc,logistic_regression,PBU,1,0.5,0.0,negligible
