Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_2$Antlr4Master_process.java,ds_6_snip_2$Antlr4Master_process.java,57,53,4,0,10,2457
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$SpringBatch_testFailureAndRecovery.java,ds_6_snip_1$SpringBatch_testFailureAndRecovery.java,47,41,3,3,0,2049
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$Pom_HealthReport.java,ds_6_snip_1$Pom_HealthReport.java,32,31,1,0,19,1022
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$Phoenix_doDropSchema.java,ds_6_snip_1$Phoenix_doDropSchema.java,35,32,3,0,8,2157
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$OpenCMSCore_createContextMenu.java,ds_6_snip_1$OpenCMSCore_createContextMenu.java,31,29,2,0,0,1927
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$MyExpenses_contribFeatureCalled.java,ds_6_snip_1$MyExpenses_contribFeatureCalled.java,36,33,3,0,7,1812
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$ModelPerformanceChart_performRequest.java,ds_6_snip_1$ModelPerformanceChart_performRequest.java,46,36,9,1,7,1660
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$K9_testFetchResponse.java,ds_6_snip_1$K9_testFetchResponse.java,27,24,3,0,0,1768
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$HibernateORM_getOverriddenColumn.java,ds_6_snip_1$HibernateORM_getOverriddenColumn.java,51,9,42,0,5,2500
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$GeneratorPropertyIteratorPanel_actionPerformed.java,ds_6_snip_1$GeneratorPropertyIteratorPanel_actionPerformed.java,38,30,8,0,14,1353
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$EstimatorUtils_getMinMax.java,ds_6_snip_1$EstimatorUtils_getMinMax.java,47,36,11,0,12,1748
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$ClassifierPerformanceEvaluatorCustomizer_addButtons.java,ds_6_snip_1$ClassifierPerformanceEvaluatorCustomizer_addButtons.java,40,37,1,2,8,1330
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$CheckEstimator_printAttributeSummary.java,ds_6_snip_1$CheckEstimator_printAttributeSummary.java,46,39,7,0,0,1320
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$CarReport_save.java,ds_6_snip_1$CarReport_save.java,34,28,4,2,5,1293
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_6/ds_6_snip_1$Antlr4Master_analyze.java,ds_6_snip_1$Antlr4Master_analyze.java,38,25,13,0,6,1889
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_9_removeProgram.java,ds_3_snip_9_removeProgram.java,14,9,5,0,4,399
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_99_s31.java,ds_3_snip_99_s31.java,10,7,3,0,2,425
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_98_setMapTransform.java,ds_3_snip_98_setMapTransform.java,16,7,9,0,2,528
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_97_s29.java,ds_3_snip_97_s29.java,8,5,3,0,0,160
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_96_filter.java,ds_3_snip_96_filter.java,13,9,4,0,2,410
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_95_comuteDisplayPointCentre.java,ds_3_snip_95_comuteDisplayPointCentre.java,14,6,8,0,0,440
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_94_s26.java,ds_3_snip_94_s26.java,12,8,4,0,2,391
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_93_check.java,ds_3_snip_93_check.java,13,8,5,0,6,511
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_92_getNormalisedTime.java,ds_3_snip_92_getNormalisedTime.java,11,7,4,0,0,316
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_91_printFailures.java,ds_3_snip_91_printFailures.java,11,8,3,0,4,383
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_90_createSettingsPanel.java,ds_3_snip_90_createSettingsPanel.java,15,6,9,0,0,425
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_8_s41.java,ds_3_snip_8_s41.java,13,9,4,0,1,302
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_89_s21.java,ds_3_snip_89_s21.java,14,10,4,0,3,324
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_88_s20.java,ds_3_snip_88_s20.java,8,5,3,0,0,224
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_87_Constraint.java,ds_3_snip_87_Constraint.java,17,9,8,0,0,588
Java,../ml_model/src/main/resources/preprocessed_method_extract/ds_3/ds_3_snip_86_runMain.java,ds_3_snip_86_runMain.java,14,6,8,0,0,422
