warning_feature,feature_set,#best_hyperparameters,use_smote,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,precision_weighted,0.5916427224566759,0.5876618266241688,0.58998200009912,0.5888724998510001,-0.003980895832507159,-0.0011095002481199545,0.6875,0.25,small,4
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,precision_negative,0.2837837837837837,0.2789115646258503,0.2746263040765658,0.2723578265052919,-0.0048722191579333995,-0.002268477571273908,0.6875,0.25,small,4
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,recall_positive,0.5691056910569106,0.5691056910569106,0.5802845528455285,0.5823170731707317,0.0,0.00203252032520318,0.4269616496435334,0.0,negligible,4
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,recall_weighted,0.5290697674418605,0.5261627906976745,0.532703488372093,0.532703488372093,-0.0029069767441860517,0.0,0.6875,0.25,small,4
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,recall_negative,0.4285714285714285,0.4183673469387755,0.41326530612244894,0.4081632653061224,-0.010204081632653017,-0.005102040816326536,0.9031767843653897,0.25,small,4
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,auc,0.498047261009667,0.493047261009667,0.49670837808807733,0.49514258861439314,-0.0050000000000000044,-0.001565789473684187,0.6875,0.25,small,4
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,auc_weighted,0.498047261009667,0.493047261009667,0.49670837808807733,0.49514258861439314,-0.0050000000000000044,-0.001565789473684187,0.6875,0.25,small,4
warnings_infer,set4,c (4) cw (4),True,knn_classifier,PBU,accuracy,0.5588235294117647,0.5588235294117647,0.5441176470588236,0.5441176470588236,0.0,0.0,0.5,0.0,negligible,4
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,f1_positive,0.7558862617174451,0.7611608436178225,0.7509284748608795,0.7571758975392235,0.00527458190037744,0.0062474226783439946,0.21875,-0.4444444444444444,medium,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,f1_weighted,0.5987888451276627,0.6090000829887853,0.5957244286742945,0.6027882521122379,0.010211237861122546,0.007063823437943317,0.046875,-0.3888888888888889,medium,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,f1_negative,0.21402918069584737,0.22765151515151516,0.20613059845082593,0.21524375440776397,0.013622334455667795,0.00911315595693804,0.21875,-0.3333333333333333,medium,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,precision_positive,0.7094496695475343,0.7152774343504278,0.7082458111912645,0.7128234943115238,0.005827764802893487,0.004577683120259302,0.03125,-0.3888888888888889,medium,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,precision_weighted,0.5813508376544707,0.5929894959967452,0.5793991889988516,0.5874102496267216,0.01163865834227451,0.008011060627870048,0.046875,-0.3888888888888889,medium,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,precision_negative,0.259796626984127,0.2860218140068886,0.25596787206687627,0.27259741092813644,0.02622518702276161,0.016629538861260174,0.04674624184491785,-0.3611111111111111,medium,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,recall_positive,0.8089430894308943,0.8130081300813008,0.7994579945799458,0.8089430894308943,0.004065040650406471,0.009485094850948506,0.28125,-0.1388888888888889,negligible,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,recall_weighted,0.625,0.6351744186046512,0.6211240310077519,0.6303294573643411,0.01017441860465118,0.009205426356589164,0.109375,-0.5555555555555556,large,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,recall_negative,0.17857142857142855,0.18877551020408162,0.173469387755102,0.1819727891156462,0.010204081632653073,0.0085034013605442,0.26468405309239895,-0.16666666666666666,small,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,auc,0.488124060150376,0.5004452201933405,0.4861525241675618,0.4953034371643394,0.012321160042964463,0.009150912996777616,0.03125,-0.3888888888888889,medium,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,auc_weighted,0.488124060150376,0.5004452201933405,0.4861525241675618,0.4953034371643394,0.012321160042964463,0.009150912996777616,0.03125,-0.3888888888888889,medium,6
warnings_infer,set4,c (6) cw (6),True,logisticregression,PBU,accuracy,0.6470588235294118,0.6470588235294118,0.6372549019607843,0.6470588235294118,0.0,0.009803921568627527,0.11709715243960728,-0.3333333333333333,medium,6
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,f1_positive,0.8173913043478261,0.8227194492254734,0.8103011887043955,0.8006406294015452,0.005328144877647212,-0.009660559302850258,0.544921875,-0.14814814814814814,small,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,f1_weighted,0.6140619912092717,0.5987766472868217,0.6131858684214726,0.5985876096842665,-0.015285343922450068,-0.014598258737206105,0.98046875,0.6666666666666666,large,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,f1_negative,0.0747663551401869,0.0535714285714285,0.11838618689495156,0.09139329488375,-0.021194926568758397,-0.026992892011201558,0.935546875,0.3950617283950617,medium,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,precision_positive,0.7181008902077152,0.7151162790697675,0.7176251841843867,0.7135839462348003,-0.002984611137947679,-0.00404123794958644,0.951171875,0.4444444444444444,medium,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,precision_weighted,0.6027407331543487,0.5702959830866807,0.614313273352167,0.564846470929023,-0.032444750067668005,-0.04946680242314405,0.962890625,0.6666666666666666,large,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,precision_negative,0.3090909090909091,0.2222222222222222,0.3549792930998605,0.19148505332472462,-0.08686868686868687,-0.16349423977513586,0.962890625,0.6666666666666666,large,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,recall_positive,0.9552845528455284,0.9715447154471544,0.932249322493225,0.9191508581752483,0.016260162601625994,-0.013098464317976677,0.455078125,-0.19753086419753085,small,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,recall_weighted,0.6947674418604651,0.7005813953488372,0.6892764857881137,0.6789405684754521,0.005813953488372103,-0.010335917312661591,0.544921875,-0.1111111111111111,negligible,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,recall_negative,0.0408163265306122,0.0306122448979591,0.07936507936507932,0.07596371882086166,-0.0102040816326531,-0.003401360544217663,0.7233656428900035,0.38271604938271603,medium,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,auc,0.5077894736842106,0.5,0.5061773481322355,0.49813593507578463,-0.007789473684210568,-0.008041413056450841,0.951171875,0.43209876543209874,medium,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,auc_weighted,0.5077894736842106,0.5,0.5061773481322355,0.49813593507578463,-0.007789473684210568,-0.008041413056450841,0.951171875,0.43209876543209874,medium,9
warnings_infer,set4,c (9) cw (9),True,mlp_classifier,PBU,accuracy,0.6470588235294118,0.6764705882352942,0.6797385620915033,0.5947712418300654,0.02941176470588236,-0.08496732026143794,0.9576344390526413,0.19753086419753085,small,9
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,f1_positive,0.7119341563786008,0.7119341563786008,0.7119341563786008,0.7119341563786008,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,f1_weighted,0.5965552627614182,0.5965552627614182,0.5965552627614182,0.5965552627614182,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,f1_negative,0.3069306930693068,0.3069306930693068,0.3069306930693068,0.3069306930693068,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,precision_positive,0.7208333333333333,0.7208333333333333,0.7208333333333333,0.7208333333333333,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,precision_weighted,0.6003969141323792,0.6003969141323792,0.6003969141323792,0.6003969141323792,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,precision_negative,0.2980769230769231,0.2980769230769231,0.2980769230769231,0.2980769230769231,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,recall_positive,0.7032520325203252,0.7032520325203252,0.7032520325203252,0.7032520325203252,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,recall_weighted,0.5930232558139535,0.5930232558139535,0.5930232558139535,0.5930232558139535,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,recall_negative,0.3163265306122449,0.3163265306122449,0.3163265306122449,0.3163265306122449,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,auc,0.513360902255639,0.513360902255639,0.513360902255639,0.513360902255639,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,auc_weighted,0.513360902255639,0.513360902255639,0.513360902255639,0.513360902255639,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (1) cw (1),True,bayes_network,PBU,accuracy,0.6323529411764706,0.6323529411764706,0.6323529411764706,0.6323529411764706,0.0,0.0,0.5,0.0,negligible,1
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,f1_positive,0.8233276157804459,0.8186528497409327,0.822475606267322,0.8206390664553761,-0.004674766039513223,-0.0018365398119458698,0.7965293915409848,0.12345679012345678,negligible,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,f1_weighted,0.5949184664587199,0.5963342530547892,0.5999176034631228,0.597191274072703,0.001415786596069224,-0.002726329390419835,0.3611414813580961,-0.09876543209876543,negligible,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,f1_negative,0.019047619047619,0.036697247706422,0.04125159642401019,0.036291713601911677,0.017649628658803,-0.004959882822098513,0.4528064985176012,-0.13580246913580246,negligible,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,precision_positive,0.7142857142857143,0.7130177514792899,0.7138887337999356,0.7125591870545973,-0.001267962806424383,-0.0013295467453382503,0.8819315148891735,0.04938271604938271,negligible,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,precision_weighted,0.5477801268498943,0.5607536712187874,0.5562355336526528,0.5606180207992462,0.012973544368893086,0.0043824871465933946,0.20347060845901527,-0.2222222222222222,small,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,precision_negative,0.1428571428571428,0.1818181818181818,0.1604938271604938,0.17921468509703797,0.038961038961039,0.018720857936544183,0.20326463314629262,-0.19753086419753085,small,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,recall_positive,0.9634146341463414,0.9634146341463414,0.970189701897019,0.9674796747967479,0.0,-0.0027100271002711285,0.682952585474961,0.08641975308641975,negligible,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,recall_weighted,0.7005813953488372,0.6947674418604651,0.7005813953488372,0.6976744186046512,-0.005813953488372103,-0.0029069767441860517,0.8443111113008288,0.19753086419753085,small,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,recall_negative,0.010204081632653,0.0204081632653061,0.023809523809523777,0.020408163265306076,0.0102040816326531,-0.0034013605442177013,0.704000751311141,-0.12345679012345678,negligible,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,auc,0.4979591836734694,0.4952223415682062,0.4970142021720969,0.4941225683255759,-0.002736842105263204,-0.0028916338465210245,0.7965293915409848,0.0,negligible,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,auc_weighted,0.4979591836734694,0.4952223415682062,0.4970142021720969,0.4941225683255759,-0.002736842105263204,-0.0028916338465210245,0.7965293915409848,0.0,negligible,9
warnings_infer,set4,c (9) cw (9),True,randomForest_classifier,PBU,accuracy,0.7205882352941176,0.7205882352941176,0.7189542483660131,0.7189542483660131,0.0,0.0,0.47608736901807275,-0.13580246913580246,negligible,9
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,f1_positive,0.8338983050847458,0.8338983050847458,0.8338983050847458,0.8338983050847458,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,f1_weighted,0.5963342530547892,0.5963342530547892,0.5963342530547892,0.5963342530547892,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,f1_negative,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,precision_positive,0.7151162790697675,0.7151162790697675,0.7151162790697675,0.7151162790697675,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,precision_weighted,0.5113912925905896,0.5113912925905896,0.5113912925905896,0.5113912925905896,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,precision_negative,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,recall_positive,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,recall_weighted,0.7151162790697675,0.7151162790697675,0.7151162790697675,0.7151162790697675,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,recall_negative,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,auc,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,auc_weighted,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (2) cw (2),True,svc,PBU,accuracy,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.0,0.0,0.5,0.0,negligible,2
warnings_openjml,set4,c (4) cw (4),True,knn_classifier,PBU,f1_positive,0.6334841628959277,0.6334841628959277,0.6356369281264129,0.6385500783573708,0.0,0.0029131502309578394,0.4269616496435334,0.0,negligible,4
warnings_openjml,set4,c (4) cw (4),True,knn_classifier,PBU,f1_weighted,0.5502922055422806,0.5502922055422806,0.5470962757996335,0.5494988317697027,0.0,0.00240255597006922,0.4269616496435334,0.0,negligible,4
warnings_openjml,set4,c (4) cw (4),True,knn_classifier,PBU,f1_negative,0.3414634146341463,0.3414634146341463,0.3248411689385339,0.3259620291108624,0.0,0.0011208601723285416,0.4269616496435334,0.0,negligible,4
warnings_openjml,set4,c (4) cw (4),True,knn_classifier,PBU,precision_positive,0.7142857142857143,0.7142857142857143,0.7156115050186742,0.7169780013916394,0.0,0.0013664963729651536,0.4269616496435334,0.0,negligible,4
warnings_openjml,set4,c (4) cw (4),True,knn_classifier,PBU,precision_weighted,0.5916427224566759,0.5916427224566759,0.58998200009912,0.5912399482748844,0.0,0.0012579481757643007,0.4269616496435334,0.0,negligible,4
warnings_openjml,set4,c (4) cw (4),True,knn_classifier,PBU,precision_negative,0.2837837837837837,0.2837837837837837,0.2746263040765658,0.2756117741246624,0.0,0.000985470048096626,0.4269616496435334,0.0,negligible,4
warnings_openjml,set4,c (4) cw (4),True,knn_classifier,PBU,recall_positive,0.5691056910569106,0.5691056910569106,0.5802845528455285,0.5833333333333333,0.0,0.0030487804878047697,0.4269616496435334,0.0,negligible,4
warnings_openjml,set4,c (4) cw (4),True,knn_classifier,PBU,recall_weighted,0.5290697674418605,0.5290697674418605,0.532703488372093,0.5348837209302326,0.0,0.0021802325581395943,0.4269616496435334,0.0,negligible,4
